"id","espn_id","ncaa_id","type","slug","abv","full_name","short_name","university","division","conference","primary","secondary","logo","head_coach","school_url","website","twitter","venue"
"BAY61515","121","596493","NCAAF","baylor","BAY","Baylor","Bears","Baylor University","d1","Big 12","#00844A","#1C3F30","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg","Mitch Thompson","https://www.ncaa.com/schools/baylor","https://baylorbears.com","@BaylorAthletics","Baylor Ballpark"
"BEL02031","1143","596693","NCAAF","bellarmine","BELL","Bellarmine","Knights","Bellarmine University","d1","Atlantic Sun","#7A303F","#7B3140","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg","Ben Reel","https://www.ncaa.com/schools/bellarmine","https://athletics.bellarmine.edu","@buknights","Knights Field"
"BEL60489","262","596470","NCAAF","belmont","BEL","Belmont","Bruins","Belmont University","d1","Missouri Valley","#182142","#FEFEFE","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont.svg","Dave Jarvis","https://www.ncaa.com/schools/belmont","https://belmontbruins.com","@GoBelmontBruins","E.S. Rose Park"
"BCU39317","158","596494","NCAAF","bethune-cookman","BCU","Bethune-Cookman","Wildcats","Bethune-Cookman University","d1","Southwestern Athletic Conf.","#7B1831","#F3A00F","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg","Jonathan Hernandez","https://www.ncaa.com/schools/bethune-cookman","https://bcuathletics.com","@BCUAthletics","Jackie Robinson Ballpark"
"BIN48596","292","596495","NCAAF","binghamton","BING","Binghamton","Bearcats","Binghamton University","d1","America East","#020201","#006747","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg","Tim Sinicki","https://www.ncaa.com/schools/binghamton","https://bubearcats.com","@BU_Bearcats","Bearcats Baseball Complex"
"BCX38408","86","596496","NCAAF","boston-college","BC","Boston College","Eagles","Boston College","d1","Atlantic Coast","#111111","#231F20","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg","Todd Interdonato","https://www.ncaa.com/schools/boston-college","https://bceagles.com","@bcsportsnews","Brighton Baseball Field"
"BGS22203","106","596497","NCAAF","bowling-green","BGSU","Bowling Green","Falcons","Bowling Green State University","d1","Mid-American","#663300","#F36532","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg","Kyle Hallock","https://www.ncaa.com/schools/bowling-green","https://bgsufalcons.com","@BGathletics","Warren E. Steller Field"
"BRA13311","324","596498","NCAAF","bradley","BRAD","Bradley","Braves","Bradley University","d1","Missouri Valley","#B70002","#E6C2C4","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bradley.svg","Elvis Dominguez","https://www.ncaa.com/schools/bradley","https://bradleybraves.com","@bradleybraves","Dozer Park"
"BRW21551","116","596500","NCAAF","brown","BRWN","Brown","Bears","Brown University","d1","The Ivy League","#54413A","#AD252A","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg","Grant Achilles","https://www.ncaa.com/schools/brown","https://brownbears.com","@@BrownU_Bears","Attanasio Family Field at Murray Stadium"
"BRY10485","299","596501","NCAAF","bryant","BRY","Bryant","Bulldogs","Bryant University","d1","America East","#231F20","#A08F66","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg","Ryan Klosterman","https://www.ncaa.com/schools/bryant","https://bryantbulldogs.com","@BryantAthletics","Conaty Park"
"BUC23802","313","596502","NCAAF","bucknell","BUCK","Bucknell","Bison","Bucknell University","d1","Patriot League","#274D87","#ED652D","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg","Scott Heather","https://www.ncaa.com/schools/bucknell","https://bucknellbison.com","@BisonSports","Depew Field"
"BUT13893","326","596503","NCAAF","butler","BUT","Butler","Bulldogs","Butler University","d1","Big East","#0D1361","#7B7979","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg","Blake Beemer","https://www.ncaa.com/schools/butler","https://butlersports.com","@ButlerAthletics",NA
"CPX29143","61","596504","NCAAF","cal-poly","CP","Cal Poly","Mustangs","Cal Poly","d1","Big West","#083808","#193E30","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg","Larry Lee","https://www.ncaa.com/schools/cal-poly","https://gopoly.com","@CPMustangs","Baggett Stadium"
"CSU02020","327","596505","NCAAF","cal-state-bakersfield","CSUB","Cal State Bakersfield","Roadrunners","CSU Bakersfield","d1","Big West","#003BAB","#FCD006","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bakersfield.svg","Jordon Banfield","https://www.ncaa.com/schools/bakersfield","https://gorunners.com","@CSUBAthletics","Hardt Field"
"CSU64525","165","596506","NCAAF","cal-state-fullerton","CSUF","Cal State Fullerton","Titans","Cal State-Fullerton","d1","Big West","#10219C","#FF671F","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg","Jason Dietrich","https://www.ncaa.com/schools/cal-st-fullerton","https://fullertontitans.com","@FullertonTitans","Goodwin Field"
"CSU60397","185","596508","NCAAF","cal-state-northridge","CSUN","Cal State Northridge","Matadors","Cal State-Northridge","d1","Big West","#B50000","#1A1919","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-northridge.svg","Eddie Cornejo","https://www.ncaa.com/schools/cal-st-northridge","https://gomatadors.com","@GoMatadors","Matador Field"
"CAL27721","65","596476","NCAAF","california","CAL","California","Golden Bears","California Baptist University","d1","Western Athletic","#002942","#966E2F","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california-baptist.svg","Gary Adcock","https://www.ncaa.com/schools/california-baptist","https://cbulancers.com","@cbulancers","James W. Totman Stadium"
"CBU25573","1105","596511","NCAAF","california-baptist","CBU","California Baptist","Lancers","University of California","d1","Atlantic Coast","#15213B","#14213B","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california.svg","Mike Neu","https://www.ncaa.com/schools/california","https://calbears.com","@CalAthletics","Evans Diamond at Stu Gordon Stadium"
"CAM52395","293","596516","NCAAF","campbell","CAM","Campbell","Fighting Camels","Campbell University","d1","Coastal Athletic Association","#FF4713","#FE4713","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg","Chris Marx","https://www.ncaa.com/schools/campbell","https://gocamels.com","@GoCamels","Jim Perry Stadium"
"CAN52176","298","596517","NCAAF","canisius","CAN","Canisius","Golden Griffins","Canisius College","d1","Metro Atlantic Athletic","#0C2950","#EDAC09","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/canisius.svg","Matt Mazurek","https://www.ncaa.com/schools/canisius","https://gogriffs.com","@GoGriffs","Demske Sports Complex"
"CAR13053","306","596520","NCAAF","central-arkansas","CARK","Central Arkansas","Bears","Central Michigan University","d1","Mid-American","#4A071C","#FBC31C","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mich.svg","Jake Sabol","https://www.ncaa.com/schools/central-mich","https://cmuchippewas.com","@CMUAthletics","Theunissen Stadium"
"CCS21214","159","596457","NCAAF","central-connecticut","CCSU","Central Connecticut","Blue Devils","University of Central Arkansas","d1","Atlantic Sun","#1E489C","#472380","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-ark.svg","Nick Harlan","https://www.ncaa.com/schools/central-ark","https://ucasports.com","@ucasports","Bear Stadium"
"CMS55141","829","596518","NCAAF","central-missouri-state","CMST","Central Missouri State","Mules","Central Connecticut State University","d1","Northeast","#1C4F9C","#D3D5D7","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-conn-st.svg","Charlie Hickey","https://www.ncaa.com/schools/central-conn-st","https://ccsubluedevils.com","@CCSUBlueDevils",NA
"COF14334","118","596615","NCAAF","charleston","CofC","Charleston","Cougars","UNC Charlotte","d1","American Athletic","#9C8456","#124E39","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charlotte.svg","Robert Woodard","https://www.ncaa.com/schools/charlotte","https://charlotte49ers.com","@Charlotte49ers","Robert and Mariam Hayes Stadium"
"CHS10504","329","596492","NCAAF","charleston-southern","CHSO","Charleston Southern","Buccaneers","Charleston Southern University","d1","Big South","#2E3192","#15233C","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-so.svg","Karl Kuhn","https://www.ncaa.com/schools/charleston-so","https://csusports.com","@CSUsports","Nielsen Field at CSU Ballpark"
"CIN10458","161","596521","NCAAF","cincinnati","CIN","Cincinnati","Bearcats","University of Cincinnati","d1","Big 12","#1A0F09","#D01C2E","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cincinnati.svg","Jordan Bischel","https://www.ncaa.com/schools/cincinnati","https://gobearcats.com","@GoBEARCATS","UC Baseball Stadium"
"CLE61551","117","596523","NCAAF","clemson","CLEM","Clemson","Tigers","Clemson University","d1","Atlantic Coast","#F35B0F","#F2551B","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg","Erik Bakich","https://www.ncaa.com/schools/clemson","https://clemsontigers.com","@ClemsonTigers","Doug Kingsmore Stadium"
"CCU36642","146","596524","NCAAF","coastal-carolina","CCU","Coastal Carolina","Chanticleers","Coastal Carolina University","d1","Sun Belt","#59A0A0","#006F71","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coastal-caro.svg","Kevin Schnall","https://www.ncaa.com/schools/coastal-caro","https://goccusports.com","@goccusports","Springs Brooks Stadium"
