"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo","Clubhouse","Roster","Statistics","Schedule","Tickets"
"32","s:20~l:23~t:32","carroll-university-wi-pioneers","CAR","Carroll University (WI) Pioneers","Carroll WI","Pioneers","Carroll WI","Carroll University (WI)","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/32.png",NA,"https://www.espn.com/college-football/team/roster/_/id/32","https://www.espn.com/college-football/team/stats/_/id/32","https://www.espn.com/college-football/team/schedule/_/id/32",NA
"2105","s:20~l:23~t:2105","carson-newman-college-eagles","CAR","Carson-Newman College Eagles","Carson-Newman","Eagles","Carson-Newman","Carson-Newman College","f2682a","0c233f",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2105.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2105","https://www.espn.com/college-football/team/stats/_/id/2105","https://www.espn.com/college-football/team/schedule/_/id/2105",NA
"2106","s:20~l:23~t:2106","carthage-firebirds","CARCWI","Carthage Firebirds","Carthage","Firebirds","Carthage","Carthage","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2106.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2106","https://www.espn.com/college-football/team/stats/_/id/2106","https://www.espn.com/college-football/team/schedule/_/id/2106",NA
"2963","s:20~l:23~t:2963","case-western-reserve-spartans","CSR","Case Western Reserve Spartans","Case Wstrn","Spartans","Case Wstrn","Case Western Reserve","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2963.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2963","https://www.espn.com/college-football/team/stats/_/id/2963","https://www.espn.com/college-football/team/schedule/_/id/2963",NA
"293","s:20~l:23~t:293","castleton-spartans","CAS","Castleton Spartans","Castleton","Spartans","Castleton","Castleton","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/293.png",NA,"https://www.espn.com/college-football/team/roster/_/id/293","https://www.espn.com/college-football/team/stats/_/id/293","https://www.espn.com/college-football/team/schedule/_/id/293",NA
"2107","s:20~l:23~t:2107","catawba-indians","CAT","Catawba Indians","Catawba","Indians","Catawba","Catawba","0c233f","cb152f",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2107.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2107","https://www.espn.com/college-football/team/stats/_/id/2107","https://www.espn.com/college-football/team/schedule/_/id/2107",NA
"2108","s:20~l:23~t:2108","catholic-cardinals","CATH","Catholic Cardinals","Catholic","Cardinals","Catholic","Catholic","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2108.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2108","https://www.espn.com/college-football/team/stats/_/id/2108","https://www.espn.com/college-football/team/schedule/_/id/2108",NA
"2964","s:20~l:23~t:2964","central-college-dutch","CNTCIA","Central College Dutch","Central","Dutch","Central","Central College","ea0029","c8c8c8",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2964.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2964","https://www.espn.com/college-football/team/stats/_/id/2964","https://www.espn.com/college-football/team/schedule/_/id/2964",NA
"2860","s:20~l:23~t:2860","central-methodist-eagles","CDF","Central Methodist Eagles","C Methodst","Eagles","C Methodst","Central Methodist","000000",NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/2860/central-methodist-eagles","https://www.espn.com/college-football/team/roster/_/id/2860","https://www.espn.com/college-football/team/stats/_/id/2860","https://www.espn.com/college-football/team/schedule/_/id/2860",NA
"2118","s:20~l:23~t:2118","central-missouri-mules","CENM","Central Missouri Mules","C Missouri","Mules","C Missouri","Central Missouri","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2118.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2118","https://www.espn.com/college-football/team/stats/_/id/2118","https://www.espn.com/college-football/team/schedule/_/id/2118",NA
