"full_name","id","espn_id","abv","short_name","owner","primary","secondary","logo","nickname","venue","type","head_coach","offensive_coordinator","defensive_coordinator"
"Reading Golden Wolves","ALV63496","111674","ALVERNIA","ALVERNIA","Reading",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/111674.png","Golden Wolves","Turf Field","NCAAF",NA,NA,NA
"Reinhardt University Eagles","REI00250","2890","REIN","Reinhardt","Reinhardt University",NA,NA,NA,"Eagles",NA,"NCAAF",NA,NA,NA
"Robert Morris University-Illinois Lakers","ROO20940","599","ROOSE","Rob Mor IL","Robert Morris University-Illinois","000000",NA,NA,"Lakers",NA,"NCAAF",NA,NA,NA
"Roosevelt Lakers","ROO28624","127991","ROO","Roosevelt","Roosevelt","000000",NA,NA,"Lakers",NA,"NCAAF","Bill McKeon","Kaleb Borghardt","Patton Fitzpatrick"
"SE Louisiana Lions","SEL06665","2545","SELA","SE Louisiana","SE Louisiana","215732","ffc72c","https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png","Lions","Strawberry Stadium","NCAAF",NA,NA,NA
"Southern Oregon Raiders","SOU03136","2584","SOU","S Oregon","Southern Oregon",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2584.png","Raiders",NA,"NCAAF",NA,NA,NA
"St Ambrose University  Iowa Fighting Bees","STA07654","2591","STA","St Ambrose","St Ambrose University  Iowa","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2591.png","Fighting Bees",NA,"NCAAF",NA,NA,NA
"St Francis Illinois Fighting Saints","SFI24508","2595","SFIL","St Fran IL","St Francis Illinois","000000",NA,NA,"Fighting Saints",NA,"NCAAF",NA,NA,NA
"St. Louis Spartans","MBX35641","2880","MB","MO Baptist","St. Louis",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2880.png","Spartans",NA,"NCAAF",NA,NA,NA
"St. Petersburg Glory Eagles","UFF14959","3254","UFFL","U of Faith","St. Petersburg",NA,NA,NA,"Glory Eagles",NA,"NCAAF",NA,NA,NA
"St. Xavier Illinois Cougars","STX27061","2615","STX","St Xavr IL","St. Xavier Illinois","000000",NA,NA,"Cougars",NA,"NCAAF",NA,NA,NA
"Sterling College Sterling Kansas","STC33503","618","STCKS","Sterling","Sterling College","000000",NA,NA,"Sterling Ks",NA,"NCAAF",NA,NA,NA
"Stonehill Skyhawks","STO08008","284","STO","Stonehill","Stonehill","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/284.png","Skyhawks","W.B. Mason Stadium","NCAAF","Eli Gardner","Vacant","Kyle Jones"
"Sul Ross State Lobos","SRO42795","2834","SROS","Sul Ross State","Sul Ross State","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2834.png","Lobos","Jackson Field","NCAAF",NA,NA,NA
"Taylor Trojans","TAY37569","620","TAYLOR","Taylor","Taylor","000000",NA,NA,"Trojans",NA,"NCAAF",NA,NA,NA
"Texas College Steers","TXC02853","2637","TXCL","Texas Col","Texas College",NA,NA,"https://a.espncdn.com/guid/43f30dfa-e0d9-ad12-1cb6-f8ceae32ffb4/logos/primary_logo_on_white_color.png","Steers",NA,"NCAAF",NA,NA,NA
"Thomas More College Saints","THM58214","2646","THMORE","Thmas More","Thomas More College","000000",NA,NA,"Saints",NA,"NCAAF",NA,NA,NA
"Trinity Bible College Lions","TRI07684","3214","TRINBIB","Trinty Bbl","Trinity Bible College",NA,NA,NA,"Lions",NA,"NCAAF",NA,NA,NA
"Troy Trojans","TRO33461","2653","TROY","Troy","Troy","AE0210","88898c","https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png","Trojans","Veterans Memorial Stadium (AL)","NCAAF","Gerad Parker","Sean Reagan","Nathan Burton / Dontae Wright"
"University Of Mexico Mexico U","UME36583","3212","UMEX","Mexico","University Of Mexico",NA,NA,NA,"Mexico U",NA,"NCAAF",NA,NA,NA
"University of Mount Union","MTU50535","426","MTU","Mt Union","University of Mount Union","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/426.png","Raiders","Mount Union Stadium","NCAAF",NA,NA,NA
"USC Trojans","USC45934","30","USC","USC","University of Southern California","9e2237","ffcc00","https://a.espncdn.com/i/teamlogos/ncaa/500/30.png","Trojans","Los Angeles Memorial Coliseum","NCAAF","Lincoln Riley","Luke Huard","Eric Henderson / D'Anton Lynn"
"Utah Permian Basin Falcons","TXP63295","110243","TXPBAS","UTPermianBasin","Texas Permian Basin",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/110243.png","Falcons","Ratliff Stadium","NCAAF",NA,NA,NA
"UVA Wise Cavaliers","VIR02866","2842","VIRWISE","VA Wise","UVA Wise","e30000","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/2842.png","Cavaliers","Carl Smith Stadium","NCAAF","Gary Bass","Tim Ladd","Kirby Cannon"
"Valley City State Valley City St","VAL51849","628","VALCST","Vall City","Valley City State","000000",NA,NA,"Valley City St",NA,"NCAAF",NA,NA,NA
"Waldorf College Warriors","WAL64273","3080","WAL","Waldorf","Waldorf College","000000",NA,NA,"Warriors",NA,"NCAAF",NA,NA,NA
"Warner University Royals","WAR14322","2683","WARNE","Warner","Warner University",NA,NA,NA,"Royals",NA,"NCAAF",NA,NA,NA
"Wayland Baptist Pioneers","WAY61193","630","WAYLAND","Wayland","Wayland Baptist",NA,NA,NA,"Pioneers",NA,"NCAAF",NA,NA,NA
"Webber International Warriors","WEB19464","2691","WEBBINT","Webber Int","Webber International","bf2f38","909090",NA,"Warriors",NA,"NCAAF",NA,NA,NA
"West Georgia Wolves","WGA23437","2698","WGA","West Georgia","West Georgia","0033a1","db1a21","https://a.espncdn.com/i/teamlogos/ncaa/500/2698.png","Wolves","University Stadium (GA)","NCAAF","Joel Taylor","Austin Davis","Woody Blevins / Tripp Weaver"
"West Memphis Crusaders","FAI48817","3211","FAI","C of Faith","West Memphis",NA,NA,NA,"Crusaders",NA,"NCAAF",NA,NA,NA
"West Virginia Institute Of Technology Golden Bears","WVT57622","2706","WVT","WV Tech","West Virginia Institute Of Technology","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2706.png","Golden Bears",NA,"NCAAF",NA,NA,NA
"William Penn Statesmen","WIL47745","2912","WILLPENN","Wm Penn","William Penn","000000",NA,NA,"Statesmen",NA,"NCAAF",NA,NA,NA
"Williamson Trade School Mechanics","WIL53956","3130","WIL","Willtrade","Williamson Trade School","000000",NA,NA,"Mechanics",NA,"NCAAF",NA,NA,NA
