"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo","Clubhouse","Roster","Statistics","Schedule","Tickets"
"2837","s:40~l:41~t:2837","east-texas-am-lions","ETAM","East Texas A&M Lions","E Texas A&M","Lions","E Texas A&M","East Texas A&M","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2837.png","https://www.espn.com/mens-college-basketball/team/_/id/2837/east-texas-am-lions","https://www.espn.com/mens-college-basketball/team/roster/_/id/2837","https://www.espn.com/mens-college-basketball/team/stats/_/id/2837","https://www.espn.com/mens-college-basketball/team/schedule/_/id/2837","https://www.vividseats.com/texas-am-universitycommerce-lions-mens-basketball-tickets--sports-basketball/performer/94997?wsUser=717"
"2330","s:40~l:41~t:2330","le-moyne-dolphins","LEM","Le Moyne Dolphins","Le Moyne","Dolphins","Le Moyne","Le Moyne",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2330.png","https://www.espn.com/mens-college-basketball/team/_/id/2330/le-moyne-dolphins","https://www.espn.com/mens-college-basketball/team/roster/_/id/2330","https://www.espn.com/mens-college-basketball/team/stats/_/id/2330","https://www.espn.com/mens-college-basketball/team/schedule/_/id/2330","https://www.vividseats.com/le-moyne-dolphins-mens-basketball-tickets--sports-basketball/performer/96627?wsUser=717"
"2385","s:40~l:41~t:2385","mercyhurst-lakers","MERC","Mercyhurst Lakers","Mercyhurst","Lakers","Mercyhurst","Mercyhurst","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2385.png","https://www.espn.com/mens-college-basketball/team/_/id/2385/mercyhurst-lakers","https://www.espn.com/mens-college-basketball/team/roster/_/id/2385","https://www.espn.com/mens-college-basketball/team/stats/_/id/2385","https://www.espn.com/mens-college-basketball/team/schedule/_/id/2385","https://www.vividseats.com/mercyhurst-lakers-mens-basketball-tickets--sports-basketball/performer/96623?wsUser=717"
"2460","s:40~l:41~t:2460","northern-iowa-panthers","UNI","Northern Iowa Panthers","Northern Iowa","Panthers","Northern Iowa","Northern Iowa","473282","ffffff",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png","https://www.espn.com/mens-college-basketball/team/_/id/2460/northern-iowa-panthers","https://www.espn.com/mens-college-basketball/team/roster/_/id/2460","https://www.espn.com/mens-college-basketball/team/stats/_/id/2460","https://www.espn.com/mens-college-basketball/team/schedule/_/id/2460","https://www.vividseats.com/northern-iowa-panthers-mens-basketball-tickets--sports-ncaa-basketball/performer/3688?wsUser=717"
"284","s:40~l:41~t:284","stonehill-skyhawks","STO","Stonehill Skyhawks","Stonehill","Skyhawks","Stonehill","Stonehill","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/284.png","https://www.espn.com/mens-college-basketball/team/_/id/284/stonehill-skyhawks","https://www.espn.com/mens-college-basketball/team/roster/_/id/284","https://www.espn.com/mens-college-basketball/team/stats/_/id/284","https://www.espn.com/mens-college-basketball/team/schedule/_/id/284","https://www.vividseats.com/stonehill-skyhawks-mens-basketball-tickets--sports-ncaa-basketball/performer/53007?wsUser=717"
"2698","s:40~l:41~t:2698","west-georgia-wolves","WGA","West Georgia Wolves","West Georgia","Wolves","West Georgia","West Georgia","0033a1","db1a21",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2698.png","https://www.espn.com/mens-college-basketball/team/_/id/2698/west-georgia-wolves","https://www.espn.com/mens-college-basketball/team/roster/_/id/2698","https://www.espn.com/mens-college-basketball/team/stats/_/id/2698","https://www.espn.com/mens-college-basketball/team/schedule/_/id/2698","https://www.vividseats.com/west-georgia-wolves-mens-basketball-tickets--sports-basketball/performer/153727?wsUser=717"
