"school_name","division","img_src","school_url","ncaa_id","conference","nickname_ncaa","colors","name_ncaa","website","twitter"
"Col. of Charleston","d1","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg","https://www.ncaa.com/schools/col-of-charleston","596459","Coastal Athletic Association","Cougars","Maroon & White","College of Charleston","cofcsports.com","@cofcsports"
"FDU","d1","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fdu.svg","https://www.ncaa.com/schools/fdu","596541","Northeast","Knights","Burgundy & Blue","FDU","fduknights.com","@FDUKnights"
"UMES","d1","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/md-east-shore.svg","https://www.ncaa.com/schools/md-east-shore","596594",NA,NA,NA,NA,NA,NA
