"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo","Clubhouse","Roster","Statistics","Schedule","Tickets"
"2514","s:40~l:54~t:2514","quinnipiac-bobcats","QUIN","Quinnipiac Bobcats","Quinnipiac","Bobcats","Quinnipiac","Quinnipiac","041B43",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png","https://www.espn.com/womens-college-basketball/team/_/id/2514/quinnipiac-bobcats","https://www.espn.com/womens-college-basketball/team/roster/_/id/2514","https://www.espn.com/womens-college-basketball/team/stats/_/id/2514","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2514","https://www.vividseats.com/quinnipiac-bobcats-womens-basketball-tickets--sports-ncaa-basketball/performer/55606?wsUser=717"
"2545","s:40~l:54~t:2545","se-louisiana-lady-lions","SELA","SE Louisiana Lady Lions","SE Louisiana","Lady Lions","SE Louisiana","SE Louisiana","215732","ffc72c",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png","https://www.espn.com/womens-college-basketball/team/_/id/2545/se-louisiana-lady-lions","https://www.espn.com/womens-college-basketball/team/roster/_/id/2545","https://www.espn.com/womens-college-basketball/team/stats/_/id/2545","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2545","https://www.vividseats.com/southeastern-louisiana-lions-womens-basketball-tickets--sports-ncaa-basketball/performer/55612?wsUser=717"
"6","s:40~l:54~t:6","south-alabama-jaguars","USA","South Alabama Jaguars","South Alabama","Jaguars","South Alabama","South Alabama","003E7E",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/6.png","https://www.espn.com/womens-college-basketball/team/_/id/6/south-alabama-jaguars","https://www.espn.com/womens-college-basketball/team/roster/_/id/6","https://www.espn.com/womens-college-basketball/team/stats/_/id/6","https://www.espn.com/womens-college-basketball/team/schedule/_/id/6","https://www.vividseats.com/south-alabama-jaguars-womens-basketball-tickets--sports-ncaa-basketball/performer/55525?wsUser=717"
"88","s:40~l:54~t:88","southern-indiana-screaming-eagles","USI","Southern Indiana Screaming Eagles","So Indiana","Screaming Eagles","So Indiana","Southern Indiana","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/88.png","https://www.espn.com/womens-college-basketball/team/_/id/88/southern-indiana-screaming-eagles","https://www.espn.com/womens-college-basketball/team/roster/_/id/88","https://www.espn.com/womens-college-basketball/team/stats/_/id/88","https://www.espn.com/womens-college-basketball/team/schedule/_/id/88","https://www.vividseats.com/southern-indiana-screaming-eagles-womens-basketball-tickets--sports-basketball/performer/63821?wsUser=717"
"2598","s:40~l:54~t:2598","st-francis-pa-red-flash","SFPA","St. Francis (PA) Red Flash","St Francis PA","Red Flash","St Francis PA","St. Francis (PA)","a20012","000000",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png","https://www.espn.com/womens-college-basketball/team/_/id/2598/st-francis-pa-red-flash","https://www.espn.com/womens-college-basketball/team/roster/_/id/2598","https://www.espn.com/womens-college-basketball/team/stats/_/id/2598","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2598","https://www.vividseats.com/st-francis-pa-red-flash-womens-basketball-tickets--sports-ncaa-basketball/performer/55619?wsUser=717"
"2900","s:40~l:54~t:2900","st-thomas-minnesota-tommies","STMN","St. Thomas-Minnesota Tommies","St Thomas (MN)","Tommies","St Thomas (MN)","St. Thomas-Minnesota","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2900.png","https://www.espn.com/womens-college-basketball/team/_/id/2900/st-thomas-minnesota-tommies","https://www.espn.com/womens-college-basketball/team/roster/_/id/2900","https://www.espn.com/womens-college-basketball/team/stats/_/id/2900","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2900","https://www.vividseats.com/st-thomas-tommies-womans-basketball-tickets--sports-ncaa-basketball/performer/135939?wsUser=717"
"284","s:40~l:54~t:284","stonehill-skyhawks","STO","Stonehill Skyhawks","Stonehill","Skyhawks","Stonehill","Stonehill","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/284.png","https://www.espn.com/womens-college-basketball/team/_/id/284/stonehill-skyhawks","https://www.espn.com/womens-college-basketball/team/roster/_/id/284","https://www.espn.com/womens-college-basketball/team/stats/_/id/284","https://www.espn.com/womens-college-basketball/team/schedule/_/id/284","https://www.vividseats.com/stonehill-skyhawks-womens-basketball-tickets--sports-basketball/performer/64240?wsUser=717"
"2627","s:40~l:54~t:2627","tarleton-state-texans","TAR","Tarleton State Texans","Tarleton St","Texans","Tarleton St","Tarleton State","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2627.png","https://www.espn.com/womens-college-basketball/team/_/id/2627/tarleton-state-texans","https://www.espn.com/womens-college-basketball/team/roster/_/id/2627","https://www.espn.com/womens-college-basketball/team/stats/_/id/2627","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2627","https://www.vividseats.com/tarleton-state-texans-womens-basketball-tickets--sports-ncaa-basketball/performer/52561?wsUser=717"
"27","s:40~l:54~t:27","uc-riverside-highlanders","UCR","UC Riverside Highlanders","UC Riverside","Highlanders","UC Riverside","UC Riverside","14234F",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/27.png","https://www.espn.com/womens-college-basketball/team/_/id/27/uc-riverside-highlanders","https://www.espn.com/womens-college-basketball/team/roster/_/id/27","https://www.espn.com/womens-college-basketball/team/stats/_/id/27","https://www.espn.com/womens-college-basketball/team/schedule/_/id/27","https://www.vividseats.com/uc-riverside-highlanders-mens-basketball-tickets--sports-basketball/performer/68526?wsUser=717"
"3101","s:40~l:54~t:3101","utah-tech-trailblazers","UTU","Utah Tech Trailblazers","Utah Tech","Trailblazers","Utah Tech","Utah Tech","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/3101.png","https://www.espn.com/womens-college-basketball/team/_/id/3101/utah-tech-trailblazers","https://www.espn.com/womens-college-basketball/team/roster/_/id/3101","https://www.espn.com/womens-college-basketball/team/stats/_/id/3101","https://www.espn.com/womens-college-basketball/team/schedule/_/id/3101","https://www.vividseats.com/dixie-state-trailblazers-womens-basketball-tickets--sports-ncaa-basketball/performer/129314?wsUser=717"
